HE: [R D' : [U , R D R']]
KE: [D' U R' : [R' D R , U']]
LE: [R U2 : [R' D R , U']]
OE: [U' R' F R : [R D R' , U']]
PE: [U R' U' : [R D R' , U']]
SE: [D U R' : [R' D R , U']]
TE: [R U2 : [R' D' R , U']]
UE: [D' R : [U , R D' R']]
VE: [U R' D' : [R' D' R , U']]
WE: [D R : [U , R D' R']]
XE: [R : [U , R D' R']]
RU: [U' R' : [R' D R , U']]
RV: [D' U' R' : [R' D R , U']]
RW: [U R : [D' , R U' R']]
RX: [R2 U : [D' , R' U' R]]
UR: [U' R' : [U' , R' D R]]
VR: [D' U' R' : [U' , R' D R]]
WR: [U R2 : [U' , R' D' R]]
XR: [R2 U : [R' U' R , D']]
RG: [R B' R' : [U , R' D R]]
RH: [U D R' F' : [R U' R' , D]]
RK: [U' R' U' : [R D R' , U']]
GR: [R B' R' : [R' D R , U]]
HR: [U D R' F' : [D , R U' R']]
KR: [U' R' U2 : [R D R' , U]]
RL: [D R' : [R' U R , D]]
RO: [R B' : [D , R' U' R]]
RP: [R2' : [U , R D R']]
RS: [U' R' U' : [R D' R' , U']]
RT: [D' R2' : [U , R D R']]
LR: [D R' : [D , R' U R]]
OR: [R B' : [R' U' R , D]]
PR: [R' : [D , R' U R]]
SR: [U' R' U2 : [R D' R' , U]]
TR: [D' R' : [D , R' U R]]
IG: [R' D : [F2 , D' R D R']]
IH: [R U D : [R' D R , U2]]
IK: [D' R' D : [F2 , D' R D R']]
IU: [D' R : [R D' R' , U2]]
IV: [R U' R' D' : [R' D R , U2]]
IW: [D R : [R D' R' , U2]]
IX: [R : [R D' R' , U2]]
IL: [R U : [R' D R , U2]]
IO: [R D' U : [R' D R , U2]]
IP: [D R U : [R' D' R , U2]]
IS: [D R' D : [F2 , D' R D R']]
IT: [R U : [R' D' R , U2]]
GI: [D R' : [F2 , R D' R' D]]
HI: [R U' D : [R' D R , U2]]
KI: [R' : [F2 , R D' R' D]]
LI: [R U' : [R' D R , U U]]
OI: [R D' U' : [R' D R , U2]]
PI: [D R U' : [R' D' R , U2]]
SI: [D R' D : [F2 , D' R D R']]
TI: [R U' : [R' D' R , U2]]
UI: [R D U' : [R' D' R , U2]]
VI: [R U' R' U D : [R D R' , U2]]
WI: [D R : [U2 , R D' R']]
XI: [R2 U : [R' U R , D']]
SP: [U R' D' : [D' , R U' R']]
PS: [U R' D' : [R U' R' , D']]
PT: [R U R' , D']
TP: [D', R U R']
TS: [D R' D : [F' , D' R D R']]
NT: [R' F' R D' U : [R' D R , U2]]
NG: [U R U' : [R' D R , U2]]
NH: [U R : [U2 , R D' R']]
NL: [U R U' D : [R' D' R , U2]]
NK: [U' R' U' : [R D R' , U2]]
NO: [U R U' : [R' D' R , U2]]
NP: [U' R' D U' : [R D' R' , U2]]
NS: [U' R' U' : [R D' R' , U2]]
ST: [D2' R' : [F' , R D' R' D]]
NU: [U' R' : [R' D R , U2]]
NV: [D' U' R' : [R' D R , U2]]
NW: [U R U' D' : [R' D R , U2]]
NX: [D U' R' : [R' D R , U2]]
XN: [D U' R' : [U2 , R' D R]]
WN: [U R U D' : [R' D R , U2]]
VN: [U' D' R' : [U2 , R' D R]]
UN: [U' R' : [U2 , R' D R]]
TN: [R' F' R D' U' : [R' D R , U2]]
SN: [U' R' U : [R D' R' , U2]]
PN: [U' R' D U : [R D' R' , U2]]
ON: [U R U : [R' D' R , U2]]
LN: [U R U D : [R' D' R , U2]]
KN: [U' R' U : [R D R' , U2]]
HN: [U R : [R D' R' , U2]]
GN: [U R U : [R' D R , U2]]
UH: [D R U' R' : [U2 , R' D R]]
UK: [R : [F2 , R' U R U']]
UO: [U' R' : [U , R' D R]]
UP: [R D : [R' D' R , U]]
US: [U' D' R' D' : [R D R' , U']]
UT: [D' R : [U' , R D' R']]
HU: [D R U' R' : [R' D R , U2]]
KU: [U R U' : [F2' , U R' U' R]]
OU: [U' R' : [R' D R , U]]
PU: [R D : [U , R' D' R]]
SU: [U' D' R' D' : [U' , R D R']]
TU: [D' R : [R D' R' , U']]
VH: [R U' D R' : [U2 , R' D R]]
VG: [U D R D' : [R' D R , U']]
VL: [R U' R' : [U2 , R' D R]]
VO: [D' R : [F2 , R' U R U']]
VS: [U' D' R' : [U , R' D R]]
VT: [D' R D : [R' D' R , U]]
GV: [U D R D' : [U' , R' D R]]
HV: [R U' D R' : [R' D R , U2]]
LV: [R U' R' : [R' D R , U2]]
OV: [D' U R U' : [F2 , U R' U' R]]
SV: [U' D' R' : [R' D R , U]]
TV: [D' R D : [U , R' D' R]]
WG: [U R2 : [U' , R' D R]]
WH: [R D' R' : [U , R' D R]]
WK: [U R D' : [R' D R , U']]
WL: [D R : [U', R D R']]
WP: [D' R U' R' : [U2 , R' D R]]
WS: [U R2 : [U' , R' D2 R]]
GW: [U R : [D , R U' R']]
HW: [R D' R' : [R' D R , U]]
KW: [U R D' : [U' , R' D R]]
LW: [D R : [R D' R' , U']]
PW: [D' R U' R' : [R' D R , U2]]
SW: [U R : [D2 , R U' R']]
XG: [D R : [F2 , R' U R U']]
XK: [R' D' R : [D ,R U R']]
XL: [D R D : [R' D' R , U]]
XO: [U D' R D' : [R' D R , U']]
XP: [R2 : [R' U' R , D']]
GX: [D U R U' : [F2' , U R' U' R]]
KX: [R' D' R : [R U R' , D]]
LX: [D R D : [U , R' D' R]]
OX: [U D' R D' : [U' , R' D R]]
PX: [R : [R D' R' , U']]
XT: [R U' D' : [R' U R , D2]]
TX: [R U' D : [R' U R , D2]]
